Time,Packet ID,From Node,To Node,Port,Port Name,Payload
2026-03-14T15:52:27.101Z,1689590149,3562713424,4294967295,3,Position,"latitude_i: 377625935 longitude_i: -1224184751 altitude: 34 time: 1773503545 location_source: LOC_INTERNAL timestamp: 1773503545 PDOP: 225 ground_speed: 0 ground_track: 0 sats_in_view: 11 precision_bits: 32"
2026-03-14T15:53:29.079Z,3605315976,3562713424,4294967295,3,Position,"latitude_i: 377625366 longitude_i: -1224184750 altitude: 24 time: 1773503607 location_source: LOC_INTERNAL timestamp: 1773503597 PDOP: 141 ground_speed: 0 ground_track: 0 sats_in_view: 13 precision_bits: 32"
2026-03-14T15:54:31.753Z,1340749194,3562713424,4294967295,3,Position,"latitude_i: 377625286 longitude_i: -1224184600 altitude: 21 time: 1773503667 location_source: LOC_INTERNAL timestamp: 1773503649 PDOP: 141 ground_speed: 0 ground_track: 0 sats_in_view: 14 precision_bits: 32"
2026-03-14T15:58:32.427Z,3088754066,3562713424,4294967295,3,Position,"latitude_i: 377625838 longitude_i: -1224185618 altitude: 54 time: 1773503907 location_source: LOC_INTERNAL timestamp: 1773503894 PDOP: 112 ground_speed: 0 ground_track: 16886000 sats_in_view: 16 precision_bits: 32"
2026-03-14T16:01:50.937Z,1183630685,3562713424,4294967295,1,Text,"Launching soon"
2026-03-14T16:02:32.526Z,2514490780,3562713424,4294967295,3,Position,"latitude_i: 377625018 longitude_i: -1224185096 altitude: 15 time: 1773504149 location_source: LOC_INTERNAL timestamp: 1773504143 PDOP: 126 ground_speed: 0 ground_track: 16886000 sats_in_view: 15 precision_bits: 32"
2026-03-14T16:03:45.395Z,3608555936,3562713424,4294967295,3,Position,"latitude_i: 377624998 longitude_i: -1224185076 altitude: 14 time: 1773504209 location_source: LOC_INTERNAL timestamp: 1773504205 PDOP: 126 ground_speed: 0 ground_track: 16886000 sats_in_view: 16 precision_bits: 32"
2026-03-14T16:04:33.047Z,1001544097,3562713424,4294967295,3,Position,"latitude_i: 377624998 longitude_i: -1224185025 altitude: 14 time: 1773504270 location_source: LOC_INTERNAL timestamp: 1773504267 PDOP: 112 ground_speed: 0 ground_track: 16886000 sats_in_view: 18 precision_bits: 32"
2026-03-14T16:05:32.042Z,3636657570,3562713424,4294967295,3,Position,"latitude_i: 377624880 longitude_i: -1224184715 altitude: 13 time: 1773504330 location_source: LOC_INTERNAL timestamp: 1773504329 PDOP: 112 ground_speed: 0 ground_track: 7958000 sats_in_view: 18 precision_bits: 32"
2026-03-14T16:06:32.235Z,3674184099,3562713424,4294967295,3,Position,"latitude_i: 377624916 longitude_i: -1224184630 altitude: 13 time: 1773504390 location_source: LOC_INTERNAL timestamp: 1773504360 PDOP: 112 ground_speed: 0 ground_track: 7958000 sats_in_view: 18 precision_bits: 32"
2026-03-14T16:07:32.735Z,1919190436,3562713424,4294967295,3,Position,"latitude_i: 377624955 longitude_i: -1224184633 altitude: 13 time: 1773504450 location_source: LOC_INTERNAL timestamp: 1773504422 PDOP: 98 ground_speed: 0 ground_track: 7958000 sats_in_view: 19 precision_bits: 32"
2026-03-14T16:08:32.214Z,77130149,3562713424,4294967295,3,Position,"latitude_i: 377624895 longitude_i: -1224184596 altitude: 13 time: 1773504510 location_source: LOC_INTERNAL timestamp: 1773504484 PDOP: 98 ground_speed: 0 ground_track: 7958000 sats_in_view: 19 precision_bits: 32"
2026-03-14T16:10:32.622Z,1883604395,3562713424,4294967295,3,Position,"latitude_i: 377624775 longitude_i: -1224184955 altitude: 13 time: 1773504630 location_source: LOC_INTERNAL timestamp: 1773504608 PDOP: 112 ground_speed: 0 ground_track: 7958000 sats_in_view: 19 precision_bits: 32"
2026-03-14T16:41:39.093Z,2773828083,3562713424,4294967295,3,Position,"latitude_i: 377428303 longitude_i: -1224137651 altitude: 118 time: 1773506496 location_source: LOC_INTERNAL timestamp: 1773506484 PDOP: 98 ground_speed: 4 ground_track: 11001000 sats_in_view: 19 precision_bits: 32"
2026-03-14T16:42:37.831Z,3729845748,3562713424,4294967295,3,Position,"latitude_i: 377427668 longitude_i: -1224135790 altitude: 118 time: 1773506556 location_source: LOC_INTERNAL timestamp: 1773506546 PDOP: 112 ground_speed: 0 ground_track: 13307000 sats_in_view: 18 precision_bits: 32"
2026-03-14T16:43:37.090Z,4052003317,3562713424,4294967295,3,Position,"latitude_i: 377427481 longitude_i: -1224135763 altitude: 106 time: 1773506616 location_source: LOC_INTERNAL timestamp: 1773506608 PDOP: 112 ground_speed: 5 ground_track: 2620000 sats_in_view: 18 precision_bits: 32"
2026-03-14T16:47:40.063Z,58572281,3562713424,4294967295,3,Position,"latitude_i: 377427668 longitude_i: -1224135661 altitude: 116 time: 1773506858 location_source: LOC_INTERNAL timestamp: 1773506856 PDOP: 98 ground_speed: 0 ground_track: 20420000 sats_in_view: 18 precision_bits: 32"
2026-03-14T16:48:41.936Z,3104750079,3562713424,4294967295,3,Position,"latitude_i: 377427633 longitude_i: -1224135655 altitude: 116 time: 1773506920 location_source: LOC_INTERNAL timestamp: 1773506918 PDOP: 84 ground_speed: 0 ground_track: 20420000 sats_in_view: 22 precision_bits: 32"
2026-03-14T16:51:42.116Z,1298986501,3562713424,4294967295,3,Position,"latitude_i: 377427608 longitude_i: -1224135613 altitude: 115 time: 1773507101 location_source: LOC_INTERNAL timestamp: 1773507073 PDOP: 84 ground_speed: 0 ground_track: 9745000 sats_in_view: 24 precision_bits: 32"
